Sample ,Larvae,Buffer_dilution_factor,Dilution ,Volume_ul,rep1,rep2,rep3,rep4,rep5
G6,L14,3,100,10,4,7,9,14,
G6,L15,3,10,100,5,,,,
G6,L16,3,10,10,32,38,60,,
G6,L16,3,10,100,227,,,,
G6,L16,3,100,10,4,4,6,1,
G6,L17,3,10,10,23,13,,,
G6,L17,3,10,100,83,,,,
G6,L17,3,100,10,1,1,1,,
G6,L18,3,10,10,53,55,41,,
G6,L18,3,10,100,225,,,,
G6,L18,3,100,10,2,3,5,,
G6,L19,3,10,10,80,78,83,,
G6,L19,3,10,100,172,,,,
G6,L19,3,100,10,8,9,7,8,
G6,L20,3,10,10,1,,,,
G6,L20,3,10,100,2,12,,,
G7,L1,3,1000,10,38,24,,,
G7,L2,3,100,10,56,62,51,,
G7,L2,3,1000,10,3,1,3,,
G7,L3,3,1000,10,127,119,178,,
G7,L4,3,10,10,49,42,,,
G7,L4,3,10,100,237,,,,
G7,L4,3,100,10,10,,,,
G7,L5,3,10,10,17,20,12,,
G7,L6,3,1000,10,83,119,,,
G7,L7,3,10,10,12,9,,,
G7,L8,3,10,10,3,,,,
G7,L8,3,10,100,6,11,,,
G7,L9,3,10,10,6,5,,,
G7,L9,3,10,100,10,19,,,
G7,L10,3,10,10,165,,,,
G7,L10,3,100,10,17,34,,,
G7,L11,3,1000,10,40,34,24,,
G7,L11,3,10000,10,1,1,,,
G7,L12,3,10,10,1,,,,
G7,L12,3,10,100,1,5,,,
G7,L13,3,1000,10,45,41,28,,
G7,L14,3,10,10,22,24,25,,
G7,L14,3,10,100,148,168,,,
G7,L14,3,100,10,1,4,2,,
G7,L15,3,10,10,43,43,36,,
G7,L15,3,100,10,6,1,7,,
G7,L16,3,10,10,92,106,106,,
G7,L16,3,100,10,8,3,8,,
G7,L17,3,100,10,31,31,24,,
G7,L17,3,1000,10,1,1,,,
G7,L18,3,1000,10,36,41,33,,
G7,L18,3,10000,10,1,,,,
G7,L19,3,10,10,19,28,25,,
G7,L19,3,10,100,93,79,,,
G7,L19,3,100,10,2,1,,,
G7,L20,3,1000,10,107,130,115,137,141
G7,L20,3,10000,10,5,6,4,6,6
