Sample ,Time ,Larvae,Contamination,Countable,Batch,Buffer_dilution_factor,Dilution ,Volume_ul,rep1,rep2,rep3,rep4
S7,28,L6,no,yes,1,3,100000,10,4,5,,
S7,28,L6,no,yes,1,3,10000,10,56,,,
S7,28,L9,no,yes,1,3,10000,10,5,3,5,
S7,28,L10,no,yes,1,6,1000,10,5,4,8,
S7,28,L2,no,yes,2,3,10000,10,26,33,,
S7,28,L2,no,yes,2,3,100000,10,4,,,
S7,28,L2,no,yes,2,3,10000,10,91,77,,
S7,28,L2,no,yes,2,3,100000,10,10,13,,
S7,28,L10,no,yes,2,6,100,10,220,,,
S8,32,L1,no,yes,1,3,1000,10,30,28,40,
S8,32,L3,no,yes,1,3,1000,10,104,103,91,
S8,32,L4,no,yes,1,3,10000,10,36,44,44,
S8,32,L4,no,yes,1,3,100000,10,3,6,,
S8,32,L5,no,yes,1,3,10000,10,16,17,19,
S8,32,L6,no ,yes,1,3,1000,10,113,97,114,
S8,32,L7,no,yes,1,3,1000,10,205,216,199,
S8,32,L8,no ,yes,1,3,100,10,19,32,12,
S8,32,L8,no ,yes,1,3,10,10,144,,,
S8,32,L8,no ,yes,1,3,1000,10,2,,,
S8,32,L8,no ,yes,1,3,100,100,33,,,
S8,32,L8,no ,yes,1,3,10,100,393,,,
S8,32,L9,no ,yes,1,3,1000,10,201,333,281,
S8,32,L10,no ,yes,1,3,1000,10,10,16,5,
S8,32,L10,no ,yes,1,3,100,10,171,201,141,
S8,32,L1,no ,yes,2,3,1000,10,51,61,,
S8,32,L1,no ,yes,2,3,10000,10,5,4,2,
S8,32,L2,no,yes,2,3,1000,10,163,179,,
S8,32,L2,no,yes,2,3,10000,10,16,,,
S8,32,L3,no ,yes,2,3,1000,10,139,156,,
S8,32,L3,no ,yes,2,3,10000,10,16,10,2,
S8,32,L6,no ,yes,2,3,1000,10,105,125,,
S8,32,L6,no ,yes,2,3,10000,10,8,5,5,
S8,32,L7,no ,yes,2,3,10000,10,205,216,199,
S8,32,L9,no ,yes,2,3,10000,10,20,25,31,
S9,36,L1,no,yes,1,3,100,10,134,133,190,
S9,36,L1,no,yes,1,3,1000,10,14,11,11,
S9,36,L2,no,yes,1,3,1000,10,232,243,209,
S9,36,L2,no,yes,1,3,10000,10,11,8,13,
S9,36,L3,no,yes,1,3,1000,10,199,252,212,
S9,36,L3,yes,yes,1,3,10000,10,16,13,14,
S9,36,L4,no,yes,1,3,10000,10,18,18,28,
S9,36,L4,no,yes,1,3,100000,10,1,3,6,
S9,36,L5,no,yes,1,3,100,10,74,62,77,
S9,36,L5,no,yes,1,3,1000,10,2,2,4,
S9,36,L6,no,yes,1,3,1000,10,112,77,85,
S9,36,L7,no,yes,1,3,1000,10,49,50,51,
S9,36,L8,no,yes,1,3,1000,10,237,263,253,
S9,36,L9,no,yes,1,3,100000,10,39,40,59,
S9,36,L10,no,yes,1,3,1000,10,42,35,46,
S9,36,L10,no,yes,1,3,10000,10,4,1,1,
S9,36,L1,no,yes,2,3,1000,10,14,9,,
S9,36,L1,no,yes,2,3,100,10,135,,,
S9,36,L5,no,yes,2,3,100,10,49,,,
S9,36,L5,no,yes,2,3,1000,10,2,1,,
S9,36,L6,no,yes,2,3,1000,10,27,28,,
S9,36,L6,no,yes,2,3,10000,10,1,2,,
S9,36,L7,no,yes,2,3,1000,10,48,35,,
S9,36,L7,no,yes,2,3,10000,10,2,5,3,
S9,36,L8,no,yes,2,3,1000,10,175,,,
S9,36,L8,no,yes,2,3,10000,10,13,7,12,
S9,36,L8,no,yes,2,3,100000,10,1,,,
S9,36,L9,no,yes,2,3,100000,10,29,28,,
S9,36,L10,no,yes,2,3,1000,10,26,59,,
S9,36,L10,no,yes,2,3,10000,10,4,5,,
S10,48,L1,no,yes,1,3,100,10,58,46,47,
S10,48,L1,no,yes,1,3,1000,10,5,1,3,
S10,48,L2,no,yes,1,3,1000,10,48,38,40,
S10,48,L2,no,yes,2,3,1000,10,32,,,
S10,48,L2,no,yes,2,3,10000,10,2,,,
S10,48,L3,no,yes,1,3,100,10,23,35,59,
S10,48,L3,no,yes,1,3,1000,10,2,,,
S10,48,L3,no,yes,2,3,1000,10,1,,,
S10,48,L4,no,yes,1,3,100,10,100,81,72,
S10,48,L4,no,yes,1,3,1000,10,4,2,2,
S10,48,L4,no,yes,2,3,100,10,112,,,
S10,48,L4,no,yes,2,3,1000,10,6,,,
S10,48,L5,no,yes,1,3,10000,10,7,9,9,
S10,48,L5,no,yes,2,3,10000,10,89,,,
S10,48,L5,no,yes,2,3,1000,10,8,,,
S10,48,L6,no,yes,2,3,10,10,52,48,61,
S10,48,L6,no,yes,2,3,100,10,4,2,1,
S10,48,L7,no,yes,1,3,1000,10,44,64,64,
S10,48,L7,no,yes,2,3,10000,10,3,1,,
S10,48,L8,no,yes,1,3,10,10,31,51,54,
S10,48,L8,no,yes,1,3,100,10,5,5,6,
S10,48,L9,no,yes,1,3,10000,10,2,3,3,
S10,48,L9,no,yes,2,3,10000,10,23,19,,
S10,48,L10,no,yes,1,3,10000,10,22,29,4,
S10,48,L10,no,yes,1,3,100000,10,2,2,,
S10,48,L10,no,yes,2,3,10000,10,18,11,74,62
